Gene	C12
C12_Sobic.001G458100	0
C12_Sobic.001G458600	0
C12_Sobic.001G459400	0
C12_Sobic.001G460200	0
C12_Sobic.001G460600	0
C12_Sobic.001G460700	1
C12_Sobic.001G460900	0
C12_Sobic.001G462300	0
C12_Sobic.001G463200	0
C12_Sobic.001G463500	1
C12_Sobic.001G464400	0
C12_Sobic.001G464600	0
C12_Sobic.001G466600	0
C12_Sobic.001G468200	0
C12_Sobic.001G468900	0
C12_Sobic.001G469100	1
C12_Sobic.001G469600	1
C12_Sobic.001G469900	0
C12_Sobic.001G469933	0
C12_Sobic.001G470200	1
C12_Sobic.001G470400	1
C12_Sobic.001G470600	0
C12_Sobic.001G473200	1
C12_Sobic.001G473500	1
C12_Sobic.001G474300	0
C12_Sobic.001G475600	1
C12_Sobic.001G475900	0
C12_Sobic.001G476700	3
C12_Sobic.001G477200	0
C12_Sobic.001G477650	0
C12_Sobic.001G479600	1
C12_Sobic.001G480550	0
C12_Sobic.001G481000	0
C12_Sobic.001G481800	0
C12_Sobic.001G482300	4
C12_Sobic.001G482600	0
C12_Sobic.001G483300	1
C12_Sobic.001G483400	1
C12_Sobic.001G483900	0
C12_Sobic.001G484500	0
C12_Sobic.001G485100	1
C12_Sobic.001G488200	0
C12_Sobic.001G488400	0
C12_Sobic.001G488700	0
C12_Sobic.001G488900	2
C12_Sobic.001G489000	1
C12_Sobic.001G491300	0
C12_Sobic.001G491900	0
C12_Sobic.001G492900	1
C12_Sobic.001G493100	0
C12_Sobic.001G493500	0
C12_Sobic.001G493800	0
C12_Sobic.001G494350	0
C12_Sobic.001G494500	0
C12_Sobic.001G496200	0
C12_Sobic.001G496500	0
C12_Sobic.001G497000	0
C12_Sobic.001G497100	1
C12_Sobic.001G497600	0
C12_Sobic.001G498300	0
C12_Sobic.001G499800	0
C12_Sobic.001G500100	0
C12_Sobic.001G500400	0
C12_Sobic.001G500800	0
C12_Sobic.001G502500	0
C12_Sobic.001G502700	0
C12_Sobic.001G504300	0
C12_Sobic.001G506066	1
C12_Sobic.001G508100	0
C12_Sobic.001G510600	0
C12_Sobic.001G511000	1
C12_Sobic.001G511200	0
C12_Sobic.001G512500	1
C12_Sobic.001G513300	0
C12_Sobic.001G513650	0
C12_Sobic.001G513700	0
C12_Sobic.001G513800	0
C12_Sobic.001G514300	0
C12_Sobic.001G516600	0
C12_Sobic.001G516800	0
C12_Sobic.001G518200	0
C12_Sobic.001G518300	0
C12_Sobic.001G518700	0
C12_Sobic.001G519100	0
C12_Sobic.001G521300	1
C12_Sobic.001G521500	0
C12_Sobic.001G521850	0
C12_Sobic.001G522700	0
C12_Sobic.001G523100	0
C12_Sobic.001G523200	0
C12_Sobic.001G523866	0
C12_Sobic.001G524900	0
C12_Sobic.001G526000	0
C12_Sobic.001G527100	1
C12_Sobic.001G527700	0
C12_Sobic.001G527900	0
C12_Sobic.001G528500	0
C12_Sobic.001G529200	0
C12_Sobic.001G531000	0
C12_Sobic.001G531400	0
C12_Sobic.001G531700	0
C12_Sobic.001G531800	1
C12_Sobic.001G532900	0
C12_Sobic.001G533000	0
C12_Sobic.001G534000	0
C12_Sobic.001G534300	0
C12_Sobic.001G534400	0
C12_Sobic.001G534900	0
C12_Sobic.001G535000	0
C12_Sobic.001G536100	0
C12_Sobic.001G536800	0
C12_Sobic.001G536901	0
C12_Sobic.001G537400	0
C12_Sobic.001G537900	1
C12_Sobic.001G538600	0
C12_Sobic.001G538700	0
C12_Sobic.001G538866	0
C12_Sobic.001G538932	0
C12_Sobic.001G539400	1
C12_Sobic.001G540200	0
C12_Sobic.001G540600	0
C12_Sobic.001G540800	0
C12_Sobic.001G541232	0
C12_Sobic.001G541300	1
C12_Sobic.001G541700	0
C12_Sobic.001G541800	1
C12_Sobic.001G542000	0
C12_Sobic.001G543200	0
C12_Sobic.001G543600	0
C12_Sobic.002G001000	1
C12_Sobic.002G001400	0
C12_Sobic.002G001500	0
C12_Sobic.002G001700	0
C12_Sobic.002G001900	0
C12_Sobic.002G002000	1
C12_Sobic.002G004100	1
C12_Sobic.002G004500	0
